,location,total_sqft,bath,price,bhk
2661,Electronic City Phase II,1140.0,2.0,34.0,2
2664,Electronic City Phase II,1252.0,2.0,65.0,3
2665,Electronic City Phase II,1135.0,2.0,46.0,2
2666,Electronic City Phase II,1305.0,3.0,65.0,3
2667,Electronic City Phase II,1165.0,2.0,33.64,2
2669,Electronic City Phase II,1336.0,2.0,50.35,3
2670,Electronic City Phase II,575.0,1.0,16.75,1
2671,Electronic City Phase II,925.0,2.0,49.82,3
2672,Electronic City Phase II,1065.0,2.0,30.76,2
2673,Electronic City Phase II,1065.0,2.0,30.75,2
2674,Electronic City Phase II,1140.0,2.0,33.06,2
2675,Electronic City Phase II,911.0,2.0,26.5,2
2676,Electronic City Phase II,1200.0,2.0,34.65,2
2677,Electronic City Phase II,1031.0,2.0,54.48,2
2687,Electronics City Phase 1,630.0,1.0,39.0,1
2688,Electronics City Phase 1,785.0,1.0,55.0,1
2694,Electronics City Phase 1,2040.0,3.0,137.0,3
2696,Electronics City Phase 1,1015.0,2.0,56.0,2
2701,Electronics City Phase 1,1340.0,2.0,75.0,2
2702,Electronics City Phase 1,650.0,1.0,23.0,1
2705,Electronics City Phase 1,755.0,1.0,42.41,1
2707,Electronics City Phase 1,580.0,1.0,27.0,1
2711,Electronics City Phase 1,1175.0,2.0,69.0,2
2718,Electronics City Phase 1,635.0,1.0,26.0,1
2719,Electronics City Phase 1,1190.0,2.0,68.0,2
2723,Electronics City Phase 1,360.0,1.0,16.9,1
2724,Electronics City Phase 1,638.0,1.0,32.0,1
2725,Electronics City Phase 1,1175.0,2.0,64.98,2
2726,Electronics City Phase 1,585.0,1.0,21.0,1
2729,Electronics City Phase 1,1025.0,2.0,90.0,2
2730,Electronics City Phase 1,1125.0,2.0,65.0,2
2733,Electronics City Phase 1,645.0,1.0,42.5,1
2735,Electronics City Phase 1,762.5,1.0,45.4,1
2736,Electronics City Phase 1,1245.0,2.0,75.0,2
2744,Electronics City Phase 1,1170.0,2.0,62.0,2
2760,Electronics City Phase 1,640.0,1.0,45.0,1
2764,Electronics City Phase 1,755.0,1.0,30.12,1
2766,Electronics City Phase 1,1700.0,3.0,111.0,3
2767,Frazer Town,1625.0,2.0,75.0,2
2768,Frazer Town,1700.0,3.0,180.0,3
2771,Frazer Town,1870.0,3.0,185.0,3
2772,Frazer Town,1750.0,3.0,150.0,3
2774,Frazer Town,2000.0,3.0,200.0,3
2775,Frazer Town,3500.0,4.0,330.0,3
2776,Frazer Town,2350.0,4.0,285.0,3
2777,Frazer Town,2350.0,2.0,423.0,5
2778,Frazer Town,1550.0,2.0,140.0,2
2780,Frazer Town,2560.0,3.0,265.0,3
2781,Frazer Town,2400.0,3.0,260.0,3
2782,Frazer Town,2560.0,3.0,288.0,3
2785,Frazer Town,1315.0,2.0,140.0,2
2786,Frazer Town,1706.0,3.0,154.0,3
2787,Frazer Town,2079.0,3.0,220.0,3
2790,Frazer Town,560.0,1.0,90.0,1
2791,Frazer Town,3100.0,3.0,400.0,3
2793,Frazer Town,1180.0,2.0,105.0,2
2794,Frazer Town,2900.0,4.0,325.0,4
2795,Frazer Town,2801.25,4.0,462.0,5
2796,Frazer Town,1200.0,2.0,78.0,2
2797,Frazer Town,2214.0,3.0,350.0,3
2798,Frazer Town,1870.0,3.0,180.0,3
2799,Frazer Town,4100.0,4.0,660.0,4
2800,Frazer Town,896.0,1.0,100.0,1
2801,Frazer Town,1420.0,2.0,120.0,2
2802,GM Palaya,1820.0,2.0,86.0,3
2803,GM Palaya,1000.0,2.0,36.0,2
2804,GM Palaya,1225.0,2.0,47.0,2
2805,GM Palaya,1140.0,2.0,48.95,2
2806,GM Palaya,1315.0,2.0,65.0,3
2807,GM Palaya,1030.0,2.0,60.0,2
2808,GM Palaya,1000.0,2.0,35.0,2
2809,GM Palaya,1315.0,3.0,65.0,3
2810,GM Palaya,1315.0,3.0,64.0,3
2811,GM Palaya,1735.0,3.0,70.0,3
2812,GM Palaya,1643.0,2.0,70.0,3
2813,GM Palaya,675.0,1.0,35.0,1
2814,Garudachar Palya,1325.0,2.0,60.8,3
2815,Garudachar Palya,1060.0,2.0,48.7,2
2816,Garudachar Palya,1960.0,3.0,160.0,3
2817,Garudachar Palya,1150.0,2.0,52.75,2
2818,Garudachar Palya,1295.0,2.0,59.5,3
2819,Garudachar Palya,1320.0,2.0,60.6,3
2820,Garudachar Palya,1295.0,2.0,59.5,3
2821,Garudachar Palya,1150.0,2.0,52.8,2
2822,Garudachar Palya,1150.0,2.0,52.8,2
2823,Garudachar Palya,4500.0,5.0,400.0,4
2824,Garudachar Palya,1060.0,2.0,48.5,2
2825,Garudachar Palya,1150.0,2.0,52.5,2
2826,Garudachar Palya,1325.0,2.0,60.8,3
2827,Garudachar Palya,1060.0,2.0,48.66,2
2828,Garudachar Palya,1150.0,2.0,52.0,2
2829,Garudachar Palya,1610.0,2.0,119.0,3
2830,Garudachar Palya,1154.0,2.0,51.8,2
2832,Giri Nagar,2400.0,4.0,400.0,4
2833,Giri Nagar,1800.0,3.0,252.0,3
2834,Giri Nagar,650.0,2.0,42.0,2
2835,Giri Nagar,4500.0,5.0,250.0,7
2836,Giri Nagar,1350.0,3.0,240.0,3
2837,Giri Nagar,2400.0,4.0,400.0,4
2838,Giri Nagar,3000.0,4.0,375.0,6
2839,Giri Nagar,2400.0,6.0,400.0,6
2840,Giri Nagar,4000.0,3.0,750.0,4
2841,Giri Nagar,600.0,1.0,125.0,1
2842,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2843,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2845,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2847,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2848,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2849,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2850,Gollarapalya Hosahalli,996.0,2.0,49.0,2
2851,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2852,Gollarapalya Hosahalli,996.0,2.0,36.5,2
2853,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2854,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2855,Gottigere,1100.0,2.0,40.0,2
2856,Gottigere,967.0,2.0,45.0,2
2857,Gottigere,891.0,2.0,25.0,2
2858,Gottigere,1618.0,3.0,82.5,3
2859,Gottigere,1222.0,2.0,63.0,2
2860,Gottigere,1200.0,2.0,95.0,2
2862,Gottigere,1300.0,3.0,65.0,3
2863,Gottigere,950.0,2.0,38.0,2
2864,Gottigere,1153.0,2.0,48.5,2
2865,Gottigere,812.0,1.0,26.0,1
2867,Gottigere,1460.0,2.0,65.0,3
2868,Gottigere,1500.0,3.0,70.0,3
2869,Gottigere,1621.0,3.0,72.0,3
2870,Gottigere,1304.0,3.0,80.0,3
2871,Gottigere,812.0,1.0,26.0,1
2872,Gottigere,990.0,2.0,40.0,2
2873,Gottigere,1235.0,2.0,63.0,2
2874,Gottigere,1385.0,3.0,64.0,3
2875,Gottigere,1000.0,2.0,35.0,2
2876,Gottigere,1075.0,2.0,30.0,2
2877,Gottigere,1010.0,2.0,35.0,2
2879,Gottigere,1410.0,2.0,45.0,2
2880,Gottigere,1380.0,2.0,95.0,3
2882,Gottigere,1435.0,2.0,62.0,3
2883,Gottigere,945.0,2.0,45.0,2
2884,Gottigere,1500.0,4.0,100.0,5
2887,Gottigere,1230.0,2.0,52.0,3
2888,Gottigere,1120.0,2.0,50.0,2
2889,Gottigere,1500.0,3.0,63.0,3
2890,Gottigere,1200.0,2.0,40.0,2
2891,Gottigere,1280.0,2.0,61.0,2
2892,Gottigere,1806.0,1.0,150.0,1
2893,Gottigere,1205.0,2.0,56.58,2
2894,Gottigere,1170.0,2.0,40.0,2
2895,Gottigere,1100.0,2.0,28.0,2
2897,Gottigere,1613.0,3.0,72.0,3
2898,Gottigere,1493.0,2.0,90.0,3
2899,Gottigere,1110.0,2.0,36.25,2
2900,Gottigere,1245.0,2.0,59.0,2
2901,Gottigere,1200.0,2.0,50.0,2
2902,Green Glen Layout,1575.0,3.0,125.0,3
2903,Green Glen Layout,1670.0,3.0,120.0,3
2904,Green Glen Layout,3250.0,4.0,230.0,4
2905,Green Glen Layout,1776.42,3.0,105.0,3
2906,Green Glen Layout,3250.0,4.0,230.0,4
2907,Green Glen Layout,940.0,2.0,56.8,2
2908,Green Glen Layout,1050.0,2.0,48.0,2
2909,Green Glen Layout,1725.0,3.0,130.0,3
2910,Green Glen Layout,1075.0,2.0,60.0,2
2911,Green Glen Layout,1485.0,3.0,115.0,3
2912,Green Glen Layout,1715.0,3.0,115.0,3
2913,Green Glen Layout,1751.0,2.0,115.0,3
2914,Green Glen Layout,1750.0,3.0,130.0,3
2915,Green Glen Layout,1530.0,3.0,105.0,3
2916,Green Glen Layout,1630.0,3.0,68.0,3
2917,Green Glen Layout,1752.0,3.0,105.0,3
2918,Green Glen Layout,1680.0,4.0,95.0,3
2919,Green Glen Layout,2000.0,3.0,165.0,3
2920,Green Glen Layout,1970.0,3.0,160.0,3
2921,Green Glen Layout,1728.0,3.0,125.0,3
2922,Green Glen Layout,1645.0,3.0,110.0,3
2923,Green Glen Layout,1517.0,3.0,100.0,3
2924,Green Glen Layout,3150.0,4.0,218.0,4
2926,Green Glen Layout,1750.0,3.0,120.0,3
2927,Green Glen Layout,1740.0,3.0,80.0,3
2928,Green Glen Layout,1750.0,3.0,81.0,3
2929,Green Glen Layout,1751.0,3.0,115.0,3
2930,Green Glen Layout,1750.0,3.0,105.0,3
2931,Green Glen Layout,1885.0,3.0,135.0,3
2932,Green Glen Layout,1625.0,3.0,70.0,3
2933,Green Glen Layout,1715.0,3.0,120.0,3
2934,Green Glen Layout,1623.29,2.0,105.0,3
2935,Green Glen Layout,1715.0,3.0,115.0,3
2936,Green Glen Layout,1715.0,3.0,105.0,3
2937,Green Glen Layout,1600.0,3.0,105.0,3
2938,Green Glen Layout,1717.0,3.0,125.0,3
2939,Green Glen Layout,1250.0,2.0,75.0,2
2940,Green Glen Layout,1715.0,3.0,112.0,3
2941,Gubbalala,1470.0,2.0,82.0,3
2942,Gubbalala,1745.0,3.0,125.0,3
2943,Gubbalala,1745.0,3.0,104.0,3
2944,Gubbalala,1745.0,3.0,115.0,3
2945,Gubbalala,1745.0,3.0,110.0,3
2948,Gubbalala,2570.0,4.0,141.0,5
2949,Gubbalala,1008.0,2.0,32.25,2
2950,Gubbalala,1205.0,2.0,70.0,2
2952,Gubbalala,5000.0,4.0,425.0,4
2953,Gubbalala,1435.0,2.0,80.0,3
2954,Gubbalala,1475.0,2.0,80.0,2
2955,Gubbalala,1223.0,2.0,42.81,2
2958,Gubbalala,1100.0,2.0,49.5,2
2959,Gubbalala,1060.0,2.0,46.0,2
2960,Gubbalala,2000.0,3.0,125.0,3
2961,Gubbalala,2500.0,6.0,88.0,6
2963,Gubbalala,1745.0,3.0,140.0,3
2964,Gubbalala,1745.0,3.0,130.0,3
2965,Gubbalala,1285.0,2.0,90.0,2
2966,Gunjur,1140.0,2.0,43.0,2
2967,Gunjur,1356.0,2.0,66.0,3
2968,Gunjur,1600.0,3.0,75.0,3
2970,Gunjur,1140.0,2.0,49.11,2
2971,Gunjur,1195.0,2.0,44.0,2
2972,Gunjur,1190.0,2.0,40.0,2
2973,Gunjur,1457.0,2.0,60.0,2
2974,Gunjur,1080.0,2.0,41.0,2
2977,Gunjur,1175.0,2.0,43.48,2
2978,Gunjur,1362.0,3.0,62.63,3
2979,Gunjur,1071.0,2.0,51.0,2
2980,Gunjur,1063.0,2.0,40.0,2
2981,Gunjur,1235.0,2.0,52.76,2
2982,Gunjur,1362.0,3.0,62.63,3
2983,Gunjur,1362.0,3.0,62.63,3
2984,Gunjur,1588.0,2.0,90.0,3
2985,Gunjur,1235.0,2.0,44.5,2
2986,Gunjur,1457.0,2.0,60.0,2
2987,HAL 2nd Stage,1226.0,3.0,135.0,2
2988,HAL 2nd Stage,1490.0,2.0,300.0,3
2989,HAL 2nd Stage,2100.0,3.0,252.0,3
2990,HAL 2nd Stage,600.0,3.0,145.0,2
2991,HAL 2nd Stage,2700.0,3.0,500.0,3
2992,HAL 2nd Stage,1600.0,3.0,125.0,3
2993,HAL 2nd Stage,2400.0,4.0,650.0,4
2994,HAL 2nd Stage,2280.0,4.0,615.0,4
2995,HAL 2nd Stage,2040.0,4.0,500.0,5
2996,HBR Layout,2800.0,2.0,200.0,3
2998,HBR Layout,1200.0,4.0,120.0,4
2999,HBR Layout,1200.0,2.0,60.0,2
3000,HBR Layout,1004.0,2.0,49.0,2
3001,HBR Layout,1783.0,3.0,125.0,3
3003,HBR Layout,1089.0,2.0,60.0,2
3004,HBR Layout,2400.0,5.0,320.0,4
3005,HBR Layout,1700.0,3.0,110.0,3
3006,HBR Layout,1198.0,2.0,65.0,2
3007,HBR Layout,1200.0,4.0,115.0,4
3008,HBR Layout,1800.0,2.0,230.0,3
3009,HBR Layout,1068.0,2.0,43.0,2
3010,HBR Layout,1200.0,2.0,120.0,2
3011,HBR Layout,1832.0,3.0,160.0,3
3012,HRBR Layout,2000.0,4.0,300.0,4
3013,HRBR Layout,1374.0,2.0,95.0,2
3014,HRBR Layout,1440.0,2.0,98.0,2
3016,HRBR Layout,2800.0,3.0,250.0,3
3017,HRBR Layout,1210.0,2.0,75.0,2
3018,HRBR Layout,1200.0,2.0,170.0,4
3019,HRBR Layout,1265.0,2.0,78.0,2
3020,HRBR Layout,1200.0,3.0,180.0,4
3021,HRBR Layout,1170.0,2.0,75.0,2
3023,HRBR Layout,1900.0,3.0,90.0,4
3024,HRBR Layout,1625.0,3.0,120.0,3
3025,HRBR Layout,1301.0,2.0,120.0,2
3026,HRBR Layout,1145.0,2.0,68.5,2
3027,HRBR Layout,1300.0,2.0,90.0,2
3029,HSR Layout,1372.0,2.0,68.0,2
3031,HSR Layout,1475.0,3.0,75.0,3
3032,HSR Layout,1467.0,2.0,55.0,2
3033,HSR Layout,1140.0,2.0,46.0,2
3034,HSR Layout,1372.0,2.0,61.0,2
3035,HSR Layout,1750.0,3.0,95.0,3
3037,HSR Layout,1027.0,2.0,44.0,2
3038,HSR Layout,1650.0,3.0,110.0,3
3039,HSR Layout,1140.0,2.0,46.0,2
3040,HSR Layout,1372.0,2.0,61.0,2
3041,HSR Layout,1140.0,2.0,46.0,2
3042,HSR Layout,1185.0,2.0,60.0,2
3043,HSR Layout,1127.0,2.0,68.0,2
3044,HSR Layout,1600.0,2.0,115.0,3
3045,HSR Layout,1145.0,2.0,48.0,2
3046,HSR Layout,1009.0,2.0,56.0,2
3047,HSR Layout,2792.0,4.0,220.0,4
3048,HSR Layout,1300.0,2.0,98.0,2
3050,HSR Layout,1140.0,2.0,46.0,2
3051,HSR Layout,1126.0,2.0,69.0,2
3053,HSR Layout,1140.0,2.0,46.0,2
3054,HSR Layout,1145.0,2.0,46.0,2
3055,HSR Layout,1142.0,2.0,65.0,2
3056,HSR Layout,3500.0,5.0,350.0,5
3057,HSR Layout,1145.0,2.0,46.0,2
3058,HSR Layout,2020.0,3.0,160.0,3
3059,HSR Layout,1844.0,3.0,95.0,3
3060,HSR Layout,1203.0,2.0,72.0,2
3061,HSR Layout,1140.0,2.0,46.0,2
3062,HSR Layout,4200.0,5.0,245.0,5
3063,HSR Layout,1140.0,2.0,46.0,2
3064,HSR Layout,1145.0,2.0,46.0,2
3065,HSR Layout,1009.0,2.0,56.0,2
3066,HSR Layout,1145.0,2.0,46.0,2
3067,HSR Layout,1100.0,2.0,44.0,2
3068,HSR Layout,1203.0,2.0,60.0,2
3069,HSR Layout,1590.0,2.0,135.0,3
3070,HSR Layout,1120.0,2.0,70.0,2
3071,HSR Layout,1140.0,2.0,46.0,2
3072,HSR Layout,1289.0,2.0,70.0,2
3073,HSR Layout,1844.0,3.0,89.0,3
3074,HSR Layout,1203.0,2.0,60.0,2
3075,HSR Layout,1140.0,2.0,46.0,2
3076,Haralur Road,1240.0,2.0,70.0,2
3077,Haralur Road,1027.0,2.0,44.0,2
3079,Haralur Road,2650.0,4.0,198.0,4
3081,Haralur Road,1194.0,2.0,47.0,2
3082,Haralur Road,3385.0,5.0,260.0,4
3083,Haralur Road,1202.0,2.0,53.0,2
3084,Haralur Road,1056.0,2.0,61.0,2
3086,Haralur Road,1810.0,3.0,100.0,3
3087,Haralur Road,1194.0,2.0,46.0,2
3089,Haralur Road,1225.0,2.0,67.38,2
3090,Haralur Road,1243.0,2.0,46.0,2
3091,Haralur Road,1027.0,2.0,44.0,2
3092,Haralur Road,1920.0,3.0,115.0,3
3093,Haralur Road,1875.0,3.0,110.0,3
3094,Haralur Road,2750.0,4.0,220.0,4
3095,Haralur Road,1194.0,2.0,47.0,2
3096,Haralur Road,1140.0,2.0,43.0,2
3097,Haralur Road,1027.0,2.0,44.0,2
3098,Haralur Road,1194.0,2.0,46.0,2
3099,Haralur Road,1455.0,2.0,145.0,2
3100,Haralur Road,2017.0,3.0,125.0,3
3101,Haralur Road,1140.0,2.0,43.0,2
3102,Haralur Road,1875.0,3.0,110.0,3
3103,Haralur Road,1092.0,2.0,44.0,2
3104,Haralur Road,2475.0,4.0,130.0,3
3105,Haralur Road,1300.0,2.0,73.0,2
3106,Haralur Road,1194.0,2.0,47.0,2
3107,Haralur Road,1243.0,2.0,46.0,2
3108,Haralur Road,1850.0,3.0,110.0,3
3109,Haralur Road,1225.0,2.0,67.38,2
3110,Haralur Road,1243.0,2.0,46.0,2
3111,Haralur Road,3400.0,5.0,240.0,4
3112,Haralur Road,1464.0,2.0,56.0,2
3113,Haralur Road,1230.0,2.0,78.0,2
3114,Haralur Road,1000.0,2.0,44.0,2
3116,Haralur Road,1300.0,2.0,79.0,2
3117,Haralur Road,1444.0,2.0,80.0,3
3118,Haralur Road,1088.0,2.0,68.0,2
3119,Haralur Road,1027.0,2.0,44.0,2
3121,Haralur Road,1225.0,2.0,70.0,2
3123,Haralur Road,1194.0,2.0,46.0,2
3124,Haralur Road,1000.0,2.0,78.0,2
3125,Haralur Road,1830.0,3.0,101.0,3
3126,Haralur Road,1255.0,3.0,130.0,3
3127,Haralur Road,1810.0,3.0,126.0,3
3128,Haralur Road,1464.0,2.0,56.0,2
3129,Haralur Road,1520.0,2.0,96.0,3
3130,Haralur Road,1520.0,2.0,125.0,3
3131,Haralur Road,1300.0,2.0,75.0,2
3132,Haralur Road,2017.0,2.0,125.0,3
3133,Haralur Road,1243.0,2.0,46.0,2
3134,Haralur Road,1027.0,2.0,44.0,2
3136,Haralur Road,1243.0,2.0,46.0,2
3137,Haralur Road,1027.0,2.0,44.0,2
3138,Haralur Road,2017.0,3.0,105.0,3
3139,Haralur Road,1243.0,2.0,46.0,2
3140,Haralur Road,1243.0,2.0,46.0,2
3141,Haralur Road,1520.0,2.0,90.0,3
3142,Haralur Road,1300.0,2.0,60.0,2
3143,Haralur Road,1985.0,3.0,130.0,3
3144,Haralur Road,1255.0,2.0,90.0,3
3145,Haralur Road,1056.0,2.0,60.0,2
3146,Haralur Road,1140.0,2.0,42.0,2
3147,Haralur Road,1245.0,2.0,62.0,2
3148,Haralur Road,1140.0,2.0,58.0,2
3149,Haralur Road,1140.0,2.0,42.0,2
3150,Haralur Road,1027.0,2.0,43.0,2
3151,Haralur Road,1194.0,2.0,47.0,2
3152,Haralur Road,1194.0,2.0,47.0,2
3153,Haralur Road,1560.0,3.0,90.0,3
3154,Haralur Road,1255.0,3.0,115.0,3
3155,Haralur Road,1520.0,2.0,85.0,3
3156,Haralur Road,1243.0,2.0,45.0,2
3157,Haralur Road,1027.0,2.0,44.0,2
3158,Haralur Road,1194.0,2.0,46.0,2
3159,Haralur Road,1650.0,3.0,100.0,3
3160,Haralur Road,1580.0,3.0,73.0,3
3161,Haralur Road,1243.0,2.0,46.0,2
3162,Haralur Road,1194.0,2.0,47.0,2
3164,Haralur Road,1520.0,2.0,96.0,3
3165,Haralur Road,1510.0,3.0,83.05,3
3166,Haralur Road,1056.0,2.0,65.0,2
3167,Haralur Road,1810.0,3.0,100.0,3
3168,Haralur Road,1243.0,2.0,46.0,2
3169,Haralur Road,575.0,1.0,38.0,1
3170,Haralur Road,1194.0,2.0,46.0,2
3171,Haralur Road,1243.0,2.0,46.0,2
3172,Haralur Road,1194.0,2.0,46.0,2
3173,Haralur Road,1140.0,2.0,43.0,2
3174,Haralur Road,1850.0,3.0,120.0,3
3175,Haralur Road,1194.0,2.0,47.0,2
3176,Haralur Road,1194.0,2.0,47.0,2
3177,Haralur Road,560.0,1.0,45.0,1
3179,Haralur Road,1243.0,2.0,46.0,2
3180,Haralur Road,1710.0,3.0,85.0,3
3181,Haralur Road,1730.0,3.0,95.0,3
3182,Haralur Road,3700.0,4.0,325.0,4
3183,Haralur Road,1243.0,2.0,46.0,2
3184,Haralur Road,1243.0,2.0,46.0,2
3185,Haralur Road,1243.0,2.0,46.0,2
3186,Haralur Road,1817.0,3.0,110.0,3
3187,Haralur Road,1225.0,2.0,77.0,2
3188,Haralur Road,1285.0,2.0,78.0,2
3189,Haralur Road,1225.0,2.0,67.48,2
3190,Haralur Road,1225.0,2.0,69.84,2
3191,Haralur Road,1200.0,2.0,46.0,2
3192,Haralur Road,1315.0,2.0,85.0,2
3193,Haralur Road,1976.0,3.0,92.0,3
3194,Haralur Road,1300.0,2.0,75.0,2
3195,Haralur Road,4694.0,5.0,375.0,4
3196,Haralur Road,1309.0,2.0,82.0,2
3197,Haralur Road,1027.0,1.0,44.0,2
3198,Haralur Road,1243.0,2.0,46.0,2
3199,Haralur Road,1243.0,2.0,46.0,2
3200,Haralur Road,1140.0,2.0,43.0,2
3201,Haralur Road,1300.0,2.0,75.0,2
3202,Haralur Road,1243.0,2.0,46.0,2
3204,Haralur Road,953.0,2.0,90.0,2
3205,Haralur Road,1230.0,2.0,67.65,2
3206,Haralur Road,1194.0,2.0,46.0,2
3207,Haralur Road,1092.0,2.0,44.0,2
3209,Haralur Road,1255.0,3.0,90.0,3
3210,Haralur Road,1735.0,3.0,97.0,3
3211,Haralur Road,1810.0,3.0,97.83,3
3212,Haralur Road,1200.0,2.0,46.0,2
3213,Haralur Road,1243.0,2.0,46.0,2
3214,Haralur Road,1810.0,3.0,112.0,3
3215,Harlur,1508.0,2.0,77.0,2
3216,Harlur,1752.12,3.0,135.0,3
3219,Harlur,1709.0,3.0,150.0,3
3220,Harlur,1174.0,2.0,69.0,2
3221,Harlur,1033.0,2.0,49.0,2
3222,Harlur,1197.0,2.0,84.0,2
3223,Harlur,1310.0,2.0,50.0,2
3224,Harlur,1757.0,3.0,132.0,3
3225,Harlur,1174.0,2.0,76.0,2
3226,Harlur,1754.0,3.0,125.0,3
3227,Harlur,1200.0,2.0,49.5,2
3228,Harlur,1290.0,2.0,85.0,2
3229,Harlur,1752.12,3.0,116.0,3
3230,Harlur,1754.0,3.0,135.0,3
3231,Harlur,1754.0,3.0,124.0,3
3232,Harlur,1152.0,2.0,69.0,2
3233,Harlur,1290.0,2.0,87.0,2
3234,Harlur,1749.0,3.0,115.0,3
3235,Harlur,3385.0,4.0,260.0,4
3236,Harlur,2240.0,5.0,155.0,3
3237,Harlur,1758.0,3.0,133.0,3
3239,Harlur,1197.0,2.0,79.0,2
3240,Harlur,1174.0,2.0,78.0,2
3243,Harlur,1200.0,2.0,52.0,2
3244,Harlur,1197.0,2.0,79.0,2
3245,Harlur,1749.0,3.0,112.0,3
3246,Harlur,1174.0,2.0,75.0,2
3247,Harlur,1750.0,3.0,136.0,3
3248,Harlur,1620.0,3.0,110.0,3
3251,Harlur,1459.0,3.0,135.0,3
3252,Harlur,1762.0,3.0,133.0,3
3253,Harlur,1756.0,3.0,131.0,3
3254,Harlur,1755.0,3.0,130.0,3
3255,Harlur,1864.0,3.0,140.0,3
3256,Harlur,1331.0,2.0,88.0,2
3257,Harlur,1752.12,3.0,133.0,3
3258,Harlur,1133.0,2.0,55.0,2
3259,Harlur,1756.0,3.0,128.0,3
3260,Harlur,1749.0,3.0,120.0,3
3261,Harlur,1197.0,2.0,82.0,2
3262,Harlur,1303.0,2.0,90.0,2
3263,Harlur,1754.0,3.0,132.0,3
3264,Harlur,1532.0,2.0,65.0,2
3265,Harlur,1174.0,2.0,75.0,2
3266,Harlur,1756.0,3.0,134.0,3
3267,Harlur,1197.0,2.0,78.0,2
3268,Harlur,1290.0,2.0,89.9,2
3269,Harlur,1386.0,2.0,85.0,2
3270,Harlur,1174.0,2.0,74.0,2
3271,Harlur,1174.0,2.0,78.0,2
3273,Harlur,1755.0,3.0,115.0,3
3276,Harlur,1532.0,2.0,65.0,2
3278,Harlur,1197.0,2.0,77.0,2
3279,Harlur,1752.12,3.0,125.0,3
3280,Harlur,3425.0,3.0,320.0,3
3282,Harlur,1225.0,2.0,56.0,2
3283,Harlur,1197.0,2.0,76.0,2
3285,Harlur,1197.0,2.0,75.0,2
3286,Harlur,1755.0,3.0,117.0,3
3287,Harlur,1197.0,2.0,79.9,2
3288,Harlur,936.0,2.0,45.0,2
3289,Harlur,2990.0,4.0,225.0,4
3290,Harlur,1370.0,2.0,88.0,2
3291,Harlur,1335.0,2.0,72.76,2
3292,Hebbal,1760.0,2.0,123.0,3
3293,Hebbal,5611.5,4.0,477.0,4
3294,Hebbal,1900.0,3.0,119.0,3
3295,Hebbal,1349.0,2.0,98.2,2
3296,Hebbal,2483.0,5.0,212.0,4
3297,Hebbal,1760.0,2.0,130.0,3
3298,Hebbal,2400.0,4.0,245.0,3
3299,Hebbal,3450.0,5.0,260.0,3
3300,Hebbal,1920.0,3.0,134.0,3
3301,Hebbal,1500.0,3.0,150.0,3
3302,Hebbal,1337.0,2.0,82.0,2
3303,Hebbal,1349.0,2.0,98.0,2
3304,Hebbal,1000.0,2.0,45.0,2
3305,Hebbal,2470.0,5.0,247.0,4
3306,Hebbal,1036.0,2.0,50.0,2
3307,Hebbal,3900.0,4.0,410.0,4
3308,Hebbal,1255.0,2.0,77.68,3
3309,Hebbal,1355.0,3.0,83.87,3
3310,Hebbal,1790.0,3.0,127.0,3
3311,Hebbal,687.325,2.0,42.72,2
3313,Hebbal,1985.0,4.0,189.0,3
3314,Hebbal,2483.0,5.0,215.0,4
3315,Hebbal,1080.0,2.0,54.0,2
3316,Hebbal,1100.0,2.0,50.0,2
3317,Hebbal,812.0,2.0,55.0,2
3319,Hebbal,1075.0,2.0,52.0,2
3321,Hebbal,1040.0,2.0,50.0,2
3322,Hebbal,2526.0,2.0,250.0,3
3324,Hebbal,1255.0,2.0,77.68,3
3325,Hebbal,823.0,2.0,50.63,2
3326,Hebbal,1420.0,2.0,123.0,2
3327,Hebbal,1069.0,3.0,65.4,3
3328,Hebbal,3067.0,4.0,310.0,4
3329,Hebbal,1040.0,2.0,46.0,2
3330,Hebbal,1420.0,2.0,99.39,2
3331,Hebbal,4235.0,4.0,365.0,4
3332,Hebbal,1100.0,2.0,47.0,2
3333,Hebbal,1700.0,3.0,124.0,3
3334,Hebbal,4772.0,6.0,510.0,4
3335,Hebbal,3960.0,5.0,386.0,4
3337,Hebbal,1053.0,2.0,48.0,2
3338,Hebbal,1420.0,2.0,99.39,2
3339,Hebbal,1355.0,3.0,83.87,3
3340,Hebbal,1440.0,2.0,115.0,2
3341,Hebbal,1100.0,2.0,54.0,2
3342,Hebbal,1355.0,3.0,83.87,3
3343,Hebbal,3500.0,3.0,395.0,3
3345,Hebbal,2400.0,4.0,180.0,3
3346,Hebbal,1255.0,2.0,77.68,3
3347,Hebbal,1420.0,2.0,107.0,2
3348,Hebbal,1320.0,2.0,92.0,2
3349,Hebbal,919.0,2.0,49.0,2
3350,Hebbal,1645.0,3.0,135.0,3
3351,Hebbal,2080.0,3.0,175.0,3
3352,Hebbal,1355.0,3.0,83.87,3
